id;topic;emoji;title;text
21;Improving Judgement;❓;Judge your arguments<br>with these questions.;Did I highlight a common ground?<br>Did I make my main claim clear?<br>Did I identify three reasons why with evidence?<br>Did I omit any personal attacks?
22;Improving Judgement;🔮;How to judge the future?;Avoid saying "I knew it all along".<br>Pick three industry leaders.<br>Create a question wishlist.<br>Ask the leaders the questions.<br>Integrate various sources and formats.
23;Improving Judgement;🔄;Become more self-aware.;What type of people do I prefer to work with?<br>What makes me stop listening to people?<br>What type of people prefer to work with me?<br>What makes people stop listening me?
24;Improving Judgement;🧐;Avoid jumping to conclusions.;Balance negative thoughts with gratitude.<br>Secret information does not mean important.<br>Confident does not mean competent.
25;Critical Thinking;🕳;Don’t rush to solve a problem.<br>Stop and think first.;Dig down to avoid solving symptoms.<br>Find and address the root cause.
26;Critical Thinking;🧨;Think about your<br>recommended solutions.;What problems might they cause?<br>Will it actually help the situation?<br>Review your approach with others.
27;Critical Thinking;🧇;Break big problems<br>into smaller ones.;Then break those into smaller as well.<br>Continue until the solutions became obvious.<br>Anticipate unintended consequences.
28;Critical Thinking;📝;Define the problem statement.;Outline goals and map boundaries.<br>Identify stakeholders and define success.<br>Map boundaries and constraints.<br>Articulate assumptions and establish a timeline.
29;Critical Thinking;🤷;Seek to understand<br>why a solution is needed.;What is really driving the request?<br>Why do people care about it?<br>Is it really a serious problem?
30;Critical Thinking;🗂;Examine the past attempts<br>to solve the problem.;Who and how tried to solve it?<br>What were the limitations?<br>What is different now?
31;Critical Thinking;📈;Use the “80/20” rule.;20% of input leads to 80% of the results.<br>Analyse and prioritise opportunities.<br>What are the major drivers of the impact?
32;Critical Thinking;🔜;Ask the “7 so-whats”.;Ask about the consequences.<br>Spot new opportunities.<br>Avoid causing unexpected problems.
33;Critical Thinking;🔬;Ask “why” 5 times.;The root cause is usually masked by other issues.<br>Ask again think and repeat.<br>Ask about the problem enough.
34;Critical Thinking;🤨;How to do successful analysis?<br>Ask yourself questions.;What am I proving or disproving?<br>Will it be beneficial?<br>Will it have enough impact?<br>Do the answers support my solutions?
35;Critical Thinking;💭;Apply critical thinking every day.;Identify a problem and break it down.<br>Look for new solutions.<br>Focus on the meaningful.<br>Avoid: "That's the way it's always done”.
36;Design Thinking;✨;Reduce common risks<br>related to public releases.;It’s all about understanding customers.<br>Make sure the product is a good fit.<br>Do your research.
37;Design Thinking;🥰;Demonstrate empathy with users. ;Describe their feelings towards a product.<br>Observe words used to describe it.<br>Compare your product with competition.<br>Understand what customers need.
38;Design Thinking;🖼;Frame the problem.;Explain and describe the context.<br>Focus on customer understanding.<br>Depict “who” “why” “what” and “where”.
39;Design Thinking;💎;Ideate and innovate.;Challenge common assumptions.<br>Pursue innovative solutions.<br>Understand specific needs.<br>Develop adequate solutions.
40;Design Thinking;📣;Provoke feedback by a prototype.;Use anything that makes users reveal information.<br>Observe what they do and feel.<br>Define the type of feedback you look for.
41;Design Thinking;⚙️;Test your solutions and iterate.;Start with something simple.<br>Test it and get user feedback.<br>Continuously refine it.
42;Design Thinking;👀;Observe customer’s own solutions.;Understand what is their main goal.<br>Note their actions and tools.<br>Utilise these in your proposal.
43;Feedback Essentials;🎙;Feedback is a tool for improvement.;Avoid speaking in general "You always..."<br>Focus on specific actions and feelings.<br>Avoid personal attacks.
44;Feedback Essentials;🐼;Reveal your blind spots.;Recognize the difference among intention and perception.<br>Ask for other's opinions.<br>
45;Feedback Essentials;😌;Accept the possibility of making mistakes.;Learn by accepting feedback.<br>Your thoughts and feelings create your story.<br>Focus on the positives.
46;Feedback Essentials;🕹;Take control over receiving feedback.;Don't react right away.<br>Take your time to process it.<br>Separate opinions and facts.<br>Create a forward focus.
47;Feedback Essentials;🤲;How to ask for feedback?;Ask about a specific area.<br>Get opinions of multiple people.<br>Be grateful for others response.<br>Look out for any non-verbal clues.
48;Feedback Essentials;🗣;Give feedback effectively.;Prepare the message in advance.<br>Balance positive and negative feedback.<br>Be supportive and focus on your tone.
49;Feedback Essentials;🧭;Explore the facts and concrete examples.;Gather multiple examples rather than only one.<br>Distinguish between opinions and facts.<br>Ask for alternative point of view.
50;Feedback Essentials;👂;Focus on listening carefully.;The others may have opposite opinion.<br>Try to understand their point of view.<br>Demonstrate empathy.
51;Feedback Essentials;📌;Create a forward focus.;Frame feedback constructively.<br>Focus on future opportunities.<br>Explore the space for improvements.
52;Transparent Communication;🐋;Get credibility and self-awareness.;Understand and communicate your motivations.<br>Stop your internal narrative and urge to defend.<br>Notice your stress triggers and needs.<br>Let go of the illusion of perfection.
53;Transparent Communication;📑;Transparency starts with valuable facts.;Observe and understand different perspectives.<br>Ask key stakeholders direct questions.<br>Sit back and go through all information.<br>Research to fill any gaps.
54;Transparent Communication;✌️;Build respect and trust.;Help others understand your actions.<br>Reveal your personal motivations.<br>Keep your promises.
55;Transparent Communication;🌊;Avoid radical transparency.;Do not blindly share any information.<br>Adjust your tone to the audience.<br>Include the context and suggest solutions.
56;Transparent Communication;🌱;Develop and express authenticity.;Start with a known truth.<br>Don't fear what others might think.<br>Be emotionally neutral.
57;Transparent Communication;🫂;Be empathetic and understand others.;What would you want to know?<br>How would it make you feel?<br>Could there be any long lasting impacts?
58;Transparent Communication;🔗;Keep up transparency integrity.;Don't ever lie or hide facts.<br>Avoid taking reactions personally.<br>Respect the feelings of others.
59;Transparent Communication;❤️‍🩹;Accept criticism.;You won't be always popular.<br>Sometimes the truth hurts.<br>Give others space to express themselves.<br>Avoid being defined by circumstances.
60;Making Key Decisions;🚦‍;How do good decisions look like?;They achieve the desired outcome.<br>They fit the culture and context.<br>Team can commit to them.
61;Making Key Decisions;👤;When to decide independently?;The outcome is likely to be supported.<br>All key information is available.<br>The problem is not shared by others.<br>It is an urgent matter.
62;Making Key Decisions;👌;When to make a collaborative decision?;The problem is shared by others.<br>Additional information is required.<br>Time frame is reasonable.
63;Making Key Decisions;🎯;How to get critical information?;Has this been done before?<br>Learn who might know more.<br>Who can bring a different perspective?
64;Making Key Decisions;🙌;How to decide collaboratively?;Don't ask if you are already decided.<br>Give people time to respond.<br>Keep an open mind and don't judge.<br>Give everyone a chance to express.
65;Making Key Decisions;⏳;Avoid waiting too long.;Remember the purpose and impact.<br>Is it better to decide ASAP?<br>Is this reversible? Go on.<br>
66;Making Key Decisions;👁;Take a last good look<br>before making a decision.;Will the desired criteria be met?<br>Is there enough commitment from the others.<br>Do you have a reasonable plan?
67;Making Key Decisions;📨;Communicate the decisions right.;Tailor the format to the audience.<br>Share the problem and main motivation.<br>Present specific next steps.<br>Support starting a dialogue.
68;Leading Meetings;📋;Prepare the agenda<br>and desired outcomes.;Research the topic in advance.<br>Discuss the agenda with others.<br>Identify any blind spots.<br>Meeting = 3+ people
69;Leading Meetings;💯;Keys to a great agenda;Share it early in the invitation.<br>Outline the desired outcomes.<br>Include a rough timeline.<br>Recap it at the start of the meeting.
70;Leading Meetings;🧘‍♀️;Stay focused and prepare for effectiveness.;Pre-read the upcoming agenda.<br>Look for related information.<br>Prepare your thoughts.<br>Remove distractions (set phone to DND).
71;Leading Meetings;🌐;Facilitate better virtual meetings.;Wait for an input and give more time.<br>Ensure everyone understands.<br>Call on people individually.<br>Ask specific questions.
72;Leading Meetings;🎛;Hybrid meeting with people<br>both online & on-site;Pretest the technology with both parties.<br>Speak aloud and slower.<br>Engage virtual people first.<br>...or make it virtual for all.
73;Leading Meetings;☎️;Improve online meetings.;Ask others to use the webcams.<br>Look at the others instead of yourself.<br>Use the raise a hand function or chat.<br>Ask about the surroundings to start lightly.
74;Leading Meetings;📝;Collect ideas effectively.;Encourage others to express thoughts.<br>Have a "parking lot" for unrelated topics.<br>Return to them if there's a time left.
75;Leading Meetings;☑️;Produce clear action points.;Focus on what needs to be done by who.<br>Write it down as you go.<br>Summarize these at the end.<br>Report progress at the start of next meeting.
76;Mastering Networking;💬;Networking 101;Prepare good questions in advance.<br>Demonstrate authentic interest.<br>Avoid basic questions like "What do you do?".<br><Focus on positive statements.<br>Allow yourself to have a time alone.
77;Management Foundations;🤝;Understand the difference.;Compliance vs Commitment<br>Forced Approach vs Choice<br>Passive vs Active Participation<br>Paycheck vs Purpose Motivation
78;Management Foundations;💪;How to get commitment of others?;Accept more ambiguity of execution.<br>Give others responsibility.<br>Be committed yourself.<br>Demonstrate dedication.
79;Management Foundations;🙌;Your role as a team member;Always participate actively.<br>Encourage and support others.<br>Ask good questions.<br>Help the group decide.
80;Management Foundations;📬;Communicate effectively<br>with your team.;Message has to be received and understood.<br>Focus on your audience.<br>Ask more and assert less.<br>Give others space to talk.
81;Management Foundations;📈;How to drive team performance?;Believe that the team can succeed.<br>Set clear expectations.<br>Show the impact of the work.<br>Provide ongoing feedback.<br>Be a role model for the behaviour.
82;Management Foundations;🥅;Help others set goals.;Explain why goals are necessary.<br>Outline the purpose for the organisation.<br>Provide a smooth setup process.<br>Encourage and give enough space for completion.
83;Management Foundations;⭐️;How to avoid micromanagement?;Be flexible and understand others' needs.<br>Focus on the "what" more than on "how".<br>Set expectations and check-in plan.<br>Resist the need for power.
84;Management Foundations;🔀;Delegate tasks effectively.;Understand that delegation is an investment.<br>Continuously build trust with others.<br>Be available and provide a safety net.
85;Management Foundations;🎉;Delegate tasks successfully.;Ask why and what are you delegating.<br>Are you willing to let this go?<br>Who is the best person to do it?<br>Think about what they need to know.<br>Prepare for supporting them.
86;Management Foundations;🤨;How to delegate tasks?;Say what needs to be done and provide context + timeline.<br>Set expectations and describe the success.<br>Set the priorities relative to existing tasks.<br>Help building a plan.
87;Management Foundations;🗣;Organise successful meetings.<br>State "why" are you meeting.<br>Provide the expected outcomes.<br>Focus on reaching decisions.<br>Talk less and ask more.
88;Management Foundations;🔗;Build a strong relationship<br>with your team.;Get to know their interests and passions.<br>Search for a common ground.<br>Follow up on discussed topics.<br>Smile!
89;Management Foundations;⏳;Manage your time wisely.;Work on a single task at a time.<br>Keep the big objectives in focus.<br>Schedule the most important work.<br>Respond to e-mails in batches.
90;Management Foundations;🪜;Manage up successfully.;Understand your supervisor's goals.<br>Connect your requests to their goals.<br>Create conversations by asking questions.<br>Focus on the common ground more than on yourself.
91;Management Foundations;📚;Have a learning mindset.;Ask follow up questions.<br>Reflect on your learnings.<br>Ask for and be open to feedback.<br>Don't agonize your mistakes.
